id,predicted_price
0,341902.52
1,944746.905
2,1036861.5
3,1916292.525
4,710645.83
5,276427.69
6,840740.06
7,599408.205
8,433204.4
9,556277.0
10,751557.37
11,399702.815
12,254667.41333333327
13,312995.93
14,292294.375
15,1125432.6
16,849698.75
17,964323.66
18,391697.63
19,439065.685
20,426031.75
21,1016591.05
22,730000.7
23,580679.25
24,548748.93
25,529134.3333333334
26,257510.55
27,231387.17
28,311769.855
29,581773.75
30,385546.48333333334
31,436544.115
32,553827.5
33,250874.78
34,387285.0
35,925947.86
36,914466.975
37,441236.81
38,381990.595
39,1810652.2
40,559410.5
41,238537.495
42,296345.755
43,397359.5635714286
44,347929.7916666666
45,261123.25
46,392907.95
47,535281.995
48,419480.48
49,680785.005
50,461586.34
51,542704.45
52,487534.66
53,537339.43
54,560599.25
55,1274608.1
56,320949.81
57,709908.63
58,405754.175
59,695994.88
60,335272.64
61,302308.875
62,233281.5
63,583348.2
64,441299.30333333334
65,177722.15
66,354470.875
67,559207.9633333333
68,613794.995
69,966678.22
70,295374.775
71,348644.085
72,826146.82
73,970443.6716666665
74,445718.0
75,949467.675
76,1212401.195
77,203925.545
78,651076.5
79,1347105.5
80,853151.01
81,437355.79
82,660721.0
83,248799.445
84,946571.0
85,655366.44
86,416332.0
87,679932.755
88,417191.07
89,464989.25
90,239456.2
91,400352.94
92,606227.5
93,1018588.935
94,568085.0
95,506048.25
96,246969.575
97,251241.25
98,750371.94
99,621080.93
100,261190.49
101,1349784.9
102,502808.525
103,333658.25
104,1186660.3
105,272405.6333333333
106,480185.505
107,453856.305
108,715404.325
109,1958927.45
110,340765.75
111,242976.22
112,572482.055
113,763700.59
114,579137.735
115,289906.4
116,239988.955
117,311632.565
118,280506.2916666667
119,464758.18
120,504745.595
121,437086.165
122,427415.525
123,216704.31333333332
124,436502.25
125,813174.825
126,234178.115
127,890098.075
128,320208.18
129,395864.93
130,442121.525
131,457768.625
132,322643.69
133,758652.81
134,277364.2166666666
135,521239.805
136,352280.645
137,305783.25
138,1421795.99
139,631210.2
140,544603.75
141,734070.53
142,723085.25
143,385496.75
144,207480.955
145,344662.27
146,370317.04
147,165719.25
148,437557.23
149,498817.625
150,809910.62
151,887950.99
152,563916.535
153,1706032.25
154,815527.775
155,812247.055
156,588803.0
157,404800.64
158,593696.215
159,334280.22
160,713905.505
161,427921.0
162,260032.41
163,321478.5
164,311850.0
165,338198.75
166,243701.75
167,289616.92
168,553129.15
169,336579.0
170,866363.9
171,367518.635
172,274433.775
173,714209.88
174,396532.185
175,312959.91
176,253123.03
177,532787.5
178,237071.825
179,351704.3
180,291942.8333333334
181,501740.0
182,535103.0
183,704561.54
184,714252.665
185,381008.745
186,161005.25
187,490279.125
188,570261.875
189,502447.9
190,213902.995
191,877819.83
192,901910.135
193,1096862.7
194,313643.36
195,554952.5
196,435916.525
197,1466780.6
198,728291.59
199,428703.865
200,514418.53
201,292188.82
202,618806.65
203,1314683.125
204,948345.83
205,389623.95
206,617554.5
207,325146.8
208,644468.15
209,695507.85
210,326606.66
211,295777.28
212,494690.1
213,443606.5
214,323209.155
215,681511.945
216,615837.75
217,301828.44
218,470983.915
219,475518.545
220,2320585.25
221,545680.29
222,684783.66
223,279041.125
224,567571.45
225,611339.5
226,532255.12
227,1105200.78
228,916047.75
229,347461.8
230,311368.02
231,273600.665
232,707094.75
233,197352.075
234,343713.6
235,301861.975
236,190079.515
237,291218.7833333333
238,2106069.65
239,371226.11
240,356828.86
241,548102.84
242,662738.13
243,307918.72
244,384200.725
245,328536.205
246,388056.75
247,573542.91
248,961872.15
249,650969.5
250,822861.94
251,608400.22
252,424900.5
253,428880.18
254,541385.0
255,331135.5
256,395150.37
257,336381.825
258,1151597.775
259,283950.67
260,2708320.5
261,354937.5
262,787617.495
263,814060.83
264,700848.865
265,608045.455
266,888823.1666666667
267,253363.045
268,416790.2
269,582217.12
270,398064.0
271,518868.625
272,325775.635
273,573470.44
274,433261.0
275,1435305.083333333
276,207232.9375
277,328021.5833333333
278,595058.78
279,452916.65
280,242753.98
281,596854.25
282,302642.75
283,481861.94
284,309388.965
285,672646.1
286,331961.65
287,566934.6833333332
288,423016.75
289,340612.5
290,588756.66
291,523197.52333333326
292,192629.7
293,214418.865
294,694661.345
295,723283.5
296,478166.25
297,232976.015
298,457849.35
299,741695.5
300,574371.08
301,558240.115
302,330552.165
303,617425.785
304,341021.93
305,695717.375
306,450527.54
307,425220.7
308,254423.25
309,405037.69
310,237964.185
311,823685.5
312,832705.575
313,1291304.47
314,952740.525
315,268135.595
316,916509.7
317,249841.56166666668
318,989642.75
319,381667.0
320,299532.275
321,560494.6199999999
322,313393.36
323,253175.875
324,547074.125
325,357065.56
326,764456.5
327,425656.785
328,268630.9583333334
329,198003.75
330,652048.055
331,331893.8
332,311345.145
333,300952.675
334,508775.5
335,424450.25
336,621049.04
337,311373.2
338,1380685.25
339,196403.0
340,1364275.0
341,557579.95
342,558970.08
343,786711.79
344,891521.295
345,940738.3
346,572617.75
347,337600.45
348,567755.715
349,807431.25
350,189133.92166666663
351,522173.0
352,432336.17
353,993702.25
354,242081.49
355,689120.25
356,592664.37
357,815724.595
358,731024.65
359,831308.41
360,359204.0
361,1175294.225
362,271466.8
363,542587.6716666666
364,758574.63
365,266360.2
366,639812.725
367,253402.045
368,1512973.8
369,336891.41
370,500416.025
371,469072.245
372,572521.925
373,520614.0
374,505587.075
375,338716.865
